id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13157147,Spacious 1 BR Apartment w/ private backyard,2708284,Agustina,Brooklyn,Bedford-Stuyvesant,40.69266,-73.94553,Private room,75,6,37,2019-06-17,1.53,1,329
13149690,Private Cozy Bedroom - Central Park North,72008788,Chris,Manhattan,Harlem,40.79952,-73.95248,Private room,75,3,107,2019-06-13,2.86,1,279
13135822,Gorgeous Bedroom in Manhattan Midtown West,54454582,Breath Beyond,Manhattan,Hell's Kitchen,40.76454,-73.99114,Private room,75,4,146,2019-07-06,3.89,3,73
13116397,Spacious Room in East Village Apartment,35959584,Kartik,Manhattan,East Village,40.72778,-73.97825,Private room,75,1,8,2016-09-29,0.21,1,0
13075158,Private Room in Artsy Lower Manhattan Apartment,1516947,Mil,Manhattan,Civic Center,40.71287,-73.99811,Private room,75,17,17,2019-03-31,0.48,1,38
13056210,Very large room for 1 adult,72291606,Jon,Brooklyn,Bushwick,40.69029,-73.91899,Shared room,75,1,25,2017-03-07,0.66,1,155
12953757,Huge + Cozy East Williamsburg Room,24747678,Caroline,Brooklyn,Bushwick,40.7029,-73.9296,Private room,75,3,5,2018-08-04,0.14,1,0
12897616,Upper West Side Room,70637655,Andrea,Manhattan,Upper West Side,40.80288,-73.96629,Private room,75,1,1,2016-06-13,0.03,1,0
12885472,Lovely large 2BR Apartment Close to Subway,2629017,Michelle,Queens,Ridgewood,40.70581,-73.90112,Entire home/apt,75,2,54,2019-07-05,1.99,1,64
12854724,Great Modern Studio in Chelsea!,49622928,Oxana,Manhattan,Chelsea,40.74066,-73.99895,Entire home/apt,75,1,132,2019-06-23,4.58,1,317
12786165,Cozy Private room in Chelsea !,69598657,Vh,Manhattan,Chelsea,40.75094,-73.99748,Private room,75,2,115,2019-06-23,2.99,1,37
12783632,NYC Mini Hotel,57230304,Imanuelly,Queens,Elmhurst,40.74037,-73.8861,Private room,75,1,2,2019-05-26,0.92,3,351
12781270,Nice and cozy little apt available,69548489,Alba,Bronx,Pelham Gardens,40.86412,-73.84664,Entire home/apt,75,2,92,2019-07-06,2.45,1,265
12749156,Your Hudson Heights Hideaway ◔‿◔,69189948,Ella,Manhattan,Washington Heights,40.84848,-73.9343,Private room,75,2,167,2019-07-07,4.6,3,310
12693458,Great room with INCREDIBLE view,65884381,Annie,Brooklyn,Williamsburg,40.71249,-73.94674,Private room,75,1,7,2016-09-10,0.19,1,0
12675481,Perfect for couples visiting NYC,68250800,Anna,Manhattan,East Harlem,40.79991,-73.9363,Private room,75,1,20,2019-02-20,0.53,2,128
12652786,Beautiful Room in Artist's Home,3629866,Shirah,Brooklyn,Bedford-Stuyvesant,40.69409,-73.94815,Private room,75,3,5,2016-07-15,0.13,1,301
12619450,Quiet-Private Large Brooklyn Studio,1539941,Ron,Brooklyn,Kensington,40.63568,-73.97383,Entire home/apt,75,2,10,2019-05-27,0.26,1,362
12407244,"Charming, Sunny Room in Amazing LES",5790819,Gracie,Manhattan,Lower East Side,40.7192,-73.98431,Private room,75,2,3,2017-01-06,0.08,1,0
12397447,Cozy big bedroom with private balcony,35031188,Aldo,Queens,Astoria,40.77479,-73.93546,Private room,75,1,21,2019-06-21,0.55,1,364
12390529,Clean freshly renovated room,52196858,Danny,Bronx,Parkchester,40.83703,-73.85648,Private room,75,2,63,2019-05-18,1.8,2,150
12343793,Cozy room in Prime Williamsburg,7476145,Alexis,Brooklyn,Williamsburg,40.71811,-73.95793,Private room,75,3,3,2017-01-16,0.09,1,0
12322066,Room with Private Bathroom,8952737,Graham,Brooklyn,Bedford-Stuyvesant,40.67941,-73.9535,Private room,75,2,1,2016-05-13,0.03,1,0
12310495,Small New-York-Style Room by Central Park!,66383919,Fernando,Manhattan,Harlem,40.80713,-73.9542,Private room,75,2,46,2017-03-11,1.17,2,0
12129960,LuXe*Chef'sKitchen*forestGarden*patio.Marble.ART,4128829,Sara,Brooklyn,Bushwick,40.69055,-73.92071,Entire home/apt,75,1,48,2019-01-03,1.22,2,36
12114228,Charming UES Studio,47864677,Alicia,Manhattan,Upper East Side,40.77117,-73.95851,Entire home/apt,75,7,13,2017-08-20,0.34,1,0
12106132,Bed-Stuy Brownstone Studio,38967549,John,Brooklyn,Bedford-Stuyvesant,40.68592,-73.9398,Entire home/apt,75,3,3,2016-11-27,0.08,1,0
12032987,Room right on Central Park!,20353296,Mia,Manhattan,East Harlem,40.79663,-73.94893,Private room,75,1,5,2016-08-20,0.13,1,0
